title,console,genre,publisher,vg_score,critic_score,user_score,total_shipped,aisan_sales,north_american_sales,japan_sales,european_sales,global_sales,release_year
NHL 16,PS4,Sports,EA Sports,4,10,2,146,0.66,0.38,1.4,0.16,2.6,2015
NHL 15,PS4,Sports,EA Sports,2,5,4,156,0.62,0.32,4.59,0.19,5.72,2014
NBA Live 18,PS4,Sports,EA Sports,1,4,7,136,0.24,0.2,1.7,1.14,3.28,2017
NBA Live 16,PS4,Sports,EA Sports,9,6,5,172,0.21,0.13,5.47,0.05,5.86,2015
NBA Live 14,PS4,Sports,EA Sports,2,8,8,167,0.27,0.17,4.73,0.05,5.22,2013
Madden NFL 25,PS4,Sports,EA Sports,7,7.4,5,35,0.96,0.64,2.12,0.15,3.87,2013
Madden NFL 20,PS4,Sports,EA Sports,4,5,1,251,7.16,1.7,5.86,4.03,18.75,2019
Madden NFL 19,PS4,Sports,EA Sports,4,8,1,233,2.21,1.63,3.87,0.18,7.89,2018
Madden NFL 18,PS4,Sports,EA Sports,9,8.2,6,161,2.62,1.73,1.29,0.42,6.06,2017
Madden NFL 17,PS4,Sports,EA Sports,2,8.5,1,88,3.28,2.3,1.41,0.37,7.36,2016
Madden NFL 16,PS4,Sports,EA Sports,6,8.2,1,1,3.3,2.39,2.82,0.31,8.82,2015
Madden NFL 15,PS4,Sports,EA Sports,5,8,2,248,2.25,1.58,4.79,0.25,8.87,2014
FIFA 20,PS4,Sports,EA Sports,10,3,9,190,7.67,3.06,3.62,3.88,18.23,2019
FIFA 18,PS4,Sports,EA Sports,2,8.3,5,134,11.8,1.27,0.15,8.64,21.86,2017
FIFA 16,PS4,Sports,EA Sports,3,8.5,2,192,8.22,1.15,0.07,5.77,15.21,2015
FIFA 15,PS4,Sports,EA Sports,3,8.1,9,142,6.32,0.83,0.05,4.49,11.69,2014
FIFA 14,PS4,Sports,EA Sports,10,1,1,53,3.43,0.62,0.12,2.18,6.35,2013
EA Sports UFC 3,PS4,Sports,EA Sports,3,2,10,199,0.97,0.4,0.01,0.41,1.79,2018
EA Sports UFC 2,PS4,Sports,EA Sports,2,9,5,50,1.31,0.44,1.34,0.65,3.74,2016
EA Sports PGA Tour,PS4,Sports,EA Sports,3,4,10,151,7.52,4.18,3.59,3.81,19.1,2015
Madden NFL 21,PS5,Sports,EA Sports,2,9,5,186,5.22,2.14,2.01,6.13,15.5,2020
NFL Head Coach 09,PSN,Sports,EA Sports,8,2,8,160,7.88,1.82,2.26,5.89,17.85,2008
NBA Live 09,PSN,Sports,EA Sports,10,6,7,275,7.42,1.34,3.46,1.07,13.29,2010
Madden NFL Arcade,PSN,Sports,EA Sports,4,8,5,56,1.79,2.97,3.36,1.62,9.74,2009
Madden NFL 11,PSN,Sports,EA Sports,9,4,4,142,1.39,1.46,2.62,2.7,8.17,2010
Fight Night Champion,PSN,Sports,EA Sports,10,8.2,5,205,2.95,3.58,2.62,6.59,15.74,2011
FIFA Street 2,PSN,Sports,EA Sports,10,4.9,6,163,5.37,1.12,4.43,6.16,17.08,2011
FIFA Soccer 11 (PSP),PSN,Sports,EA Sports,8,7,9,40,4.41,4.06,5.53,3.03,17.03,2010
FIFA Soccer 10 (PSP),PSN,Sports,EA Sports,1,7.9,10,287,7.61,4.61,1.99,6.15,20.36,2009
2010 FIFA World Cup South Africa,PSN,Sports,EA Sports,4,6.8,4,74,1.24,3.75,4.69,3.94,13.62,2010
Def Jam Vendetta,PS2,Fighting,EA Sports BIG,1,10,3,206,1.94,0.95,3.54,0.74,7.17,2003
Sled Storm,PS2,Racing,EA Sports BIG,4,1,2,105,0.45,0.22,2.61,0.17,3.45,2002
Freekstyle,PS2,Racing,EA Sports BIG,5,8,6,276,1.06,0.52,1.13,0.41,3.12,2002
FIFA Street 3,DS,Sports,EA Sports BIG,2,6,4,150,0.09,0.06,2.02,0.02,2.19,2008
FIFA Street 2,DS,Sports,EA Sports BIG,1,5,9,139,0.04,0.04,3.86,1.14,5.08,2006
SSX Tricky,PS2,Sports,EA Sports BIG,2,9.2,1,185,1.73,0.85,4.93,0.66,8.17,2001
SSX On Tour,PS2,Sports,EA Sports BIG,4,3,1,22,0.52,0.25,1.94,0.2,2.91,2005
SSX 3,PS2,Sports,EA Sports BIG,5,9,4,233,1.67,0.93,3.52,0.52,6.64,2003
SSX,PS2,Sports,EA Sports BIG,4,4,5,300,1.66,0.78,0.06,0.61,3.11,2000
NFL Street 3,PS2,Sports,EA Sports BIG,6,8,1,35,3.99,2.37,1.2,2.99,10.55,2006
NFL Street 2,PS2,Sports,EA Sports BIG,2,8,7,28,1.61,0.79,5.72,0.62,8.74,2004
NFL Street,PS2,Sports,EA Sports BIG,8,9,10,75,1.42,1.15,1.75,0.08,4.4,2004
NBA Street Vol. 2,PS2,Sports,EA Sports BIG,2,8,9,173,1.95,1.69,1.82,0.2,5.66,2003
NBA Street V3,PS2,Sports,EA Sports BIG,4,1,7,147,1.06,0.52,2.67,0.41,4.66,2005
NBA Street,PS2,Sports,EA Sports BIG,6,5,3,139,2.79,2.19,2.11,0.22,7.31,2001
FIFA Street 2,PS2,Sports,EA Sports BIG,5,6,7,214,0.37,0.17,0.02,0.13,0.69,2006
FIFA Street,PS2,Sports,EA Sports BIG,3,4,4,223,0.31,0.15,2.87,0.12,3.45,2005
NFL Tour,PS3,Sports,EA Sports BIG,9,5,8,237,0.12,0.1,3.64,0.01,3.87,2008
FIFA Street 3,PS3,Sports,EA Sports BIG,2,10,7,148,0.32,0.08,1.21,0.18,1.79,2008
Valis X  Valna   Haha to Musume no Kunou,PC,Adventure,Eants,3,4,1,250,4.97,3.03,3.25,4.71,15.96,2006
Valis X  Reiko   Shoudarake no Senshi,PC,Adventure,Eants,9,5,10,207,1.5,2.45,2.76,3.53,10.24,2006
Valis X  Meijimura Meyo  Valis no Senshi Tachi,PC,Adventure,Eants,6,1,10,150,1.5,3.27,3.32,6.96,15.05,2006
Valis X  Masako   Mou Hitotsu to Sadame,PC,Adventure,Eants,3,1,6,155,4.84,4.55,3.82,3.59,16.8,2006
Valis X  Full Set Pack,PC,Adventure,Eants,6,3,5,167,5.86,4.8,4.92,4.05,19.63,2006
Valis X  Cham   Aratanaru Senyuu,PC,Adventure,Eants,4,5,6,127,2.15,1.87,4.97,1.1,10.09,2006
Soldner X  Himmelssturmer,PC,Shooter,EastAsiaSoft,6,5,8,223,6.57,4.75,4.17,5.87,21.36,2007
Soldner X  Himmelssturmer,PSN,Shooter,EastAsiaSoft,2,6.3,7,147,5.82,1.6,5.79,5.03,18.24,2008
Soldner X 2  Final Prototype   The Last Chapter,PSN,Shooter,EastAsiaSoft,2,1,3,158,3.74,2.22,1.55,5.97,13.48,2010
Soldner X 2  Final Prototype,PSN,Shooter,EastAsiaSoft,7,6.8,2,166,2.58,3.9,2.05,6.45,14.98,2010
Skater XL,PC,Sports,Easy Day Studios Pty Ltd,1,2,9,172,6.94,1.85,3.31,6.02,18.12,2020
Vampire Mansion  Linda Hyde,DS,Adventure,Easy Interactive,6,10,8,227,0.02,2.57,1.29,0.02,3.9,2011
Curse of the Amsterdam Diamond,DS,Adventure,Easy Interactive,8,3,4,271,0.01,4.03,2.29,0.01,6.34,2012
Melty Blood  Act Cadenza Version B,PC,Fighting,Ecole,8,1,8,179,3.42,3.44,1.64,4.36,12.86,2007
Melty Blood  Actress Again,PS2,Fighting,Ecole,7,10,3,13,0.06,3.06,0.06,4.4,7.58,2009
Loadout,PC,Shooter,Edge of Reality,3,10,7,34,5.95,4.44,1.74,4.16,16.29,2014
Loadout,PS4,Shooter,Edge of Reality,5,2,10,18,4.84,2.06,3.27,2.78,12.95,2014
The Basement Collection,PC,Adventure,Edmund McMillen,10,9,10,0.25,1.54,4.72,3.86,5.28,15.4,2012
House Party,PC,Adventure,Eek! Games  LLC,2,5,8,0.5,7.99,3.44,3.88,5.88,21.19,1973
Machi no Pet Ya San DS  Wannyan 200 Hiki Daishuugou,DS,Simulation,E-Frontier,5,9,7,55,1.47,1.2,3.82,4.15,10.64,2007
Machi no Pet Ya San DS 2  Wannyan 333 Hiki Daishuugou ,DS,Simulation,E Frontier,6,2,1,168,5.47,3.28,3.9,2.38,15.03,2009
Word Mania 2,PC,Puzzle,eGames,10,8,1,255,6.85,2.85,4.73,1.65,16.08,2008
The Three Stooges  Treasure Hunt Hijinks,PC,Puzzle,eGames,10,3,8,46,3.31,3.39,4.1,5.03,15.83,2008
Teddy Factory,PC,Puzzle,eGames,4,4,5,44,4.9,4.34,3.61,4.61,17.46,2006
Puzzle City,PC,Puzzle,eGames,9,7,8,266,2.06,2.31,5.77,2.6,12.74,2008
Nightfall Mysteries  Asylum Conspiracy,PC,Puzzle,eGames,5,9,2,7,1,4.75,3.29,3.09,12.13,2011
Hidden Relics,PC,Puzzle,eGames,8,6,10,265,5.99,3.18,4.63,1.44,15.24,2008
4 Elements,PC,Puzzle,eGames,2,8,1,222,0.05,1.77,1.34,0.04,3.2,2009
Janes Hotel,PC,Simulation,eGames,10,5,10,218,1.57,2.74,3.25,3.25,10.81,2008
Home Sweet Home,PC,Simulation,eGames,3,6,7,282,1.11,1.9,2.35,6.23,11.59,2008
Snow Wave  Avalanche,PC,Sports,eGames,10,9,6,278,3.68,4.35,5.61,5.6,19.24,2002
X Rebirth,PC,Simulation,Egosoft,4,5,9,300,0.08,4.26,4.14,0.08,8.56,2013
Tomb Raider  Underworld,DS,Adventure,Eidos Interactive,1,9,3,253,0.19,0.15,5.16,0.02,5.52,2008
Tomb Raider  Legend,DS,Adventure,Eidos Interactive,5,6.5,3,285,0.07,0.04,5.51,0.02,5.64,2006
Tomb Raider  Underworld,PC,Adventure,Eidos Interactive,7,8,5,159,0.08,4.55,1.9,0.07,6.6,2008
Tomb Raider III  Adventures of Lara Croft,PC,Adventure,Eidos Interactive,4,7.3,5,178,0.62,0.59,5.45,0.03,6.69,1998
Tomb Raider II,PC,Adventure,Eidos Interactive,3,8.2,8,75,2.29,0.91,3.63,1.25,8.08,1997
Soul Reaver 2,PC,Adventure,Eidos Interactive,3,9,4,56,2.89,3.12,2.69,1.12,9.82,2001
So Blonde,PC,Adventure,Eidos Interactive,6,10,8,203,0.02,4.43,4.54,0.02,9.01,2008
Omikron  The Nomad Soul,PC,Adventure,Eidos Interactive,8,8,8,48,6.76,1.61,5.62,3.12,17.11,1999
Legacy of Kain  Defiance,PC,Adventure,Eidos Interactive,7,7,10,210,0.01,3.83,3.62,0.01,7.47,2003
Chicken Run,PC,Adventure,Eidos Interactive,5,5,9,261,3.13,1.66,3.1,6.5,14.39,2001
Tomb Raider III  Adventures of Lara Croft,PS,Adventure,Eidos Interactive,8,8.2,2,274,3.54,1.66,0.12,1.58,6.9,1998
Tomb Raider II,PS,Adventure,Eidos Interactive,8,7.6,1,31,5.24,2.3,0.2,2.46,10.2,1997
Legacy of Kain  Soul Reaver,PS,Adventure,Eidos Interactive,1,8.9,9,78,1.04,0.58,4.34,0.4,6.36,1999
Chicken Run,PS,Adventure,Eidos Interactive,3,6.3,6,86,0.13,0.07,3.2,0.05,3.45,2000
Tomb Raider  Underworld (Others sales),PS2,Adventure,Eidos Interactive,9,10,10,75,0.26,2.59,4.44,0.21,7.5,2009
Tomb Raider  Underworld,PS2,Adventure,Eidos Interactive,6,5,10,201,0.18,0.09,2,0.04,2.31,2009
Soul Reaver 2,PS2,Adventure,Eidos Interactive,4,1,9,35,0.55,0.27,2.66,0.21,3.69,2001
Legacy of Kain  Defiance,PS2,Adventure,Eidos Interactive,4,9,10,221,0.53,0.26,5.61,0.2,6.6,2003
Herdy Gerdy,PS2,Adventure,Eidos Interactive,9,5,2,68,0.22,0.11,5.05,0.08,5.46,2002
Tomb Raider  Underworld,PS3,Adventure,Eidos Interactive,2,7.8,7,109,1.26,0.45,0.05,0.55,2.31,2008
Tomb Raider  Legend,PSN,Adventure,Eidos Interactive,1,2,5,3,4.25,4.55,5.53,3,17.33,2009
EÂ·OÂ·E  Eve Of Extinction,PS2,Fighting,Eidos Interactive,10,3,3,232,0.1,0.04,0.02,0.03,0.19,2002
Backyard Wrestling  Dont Try This at Home,PS2,Fighting,Eidos Interactive,9,6,1,133,0.6,0.3,4.39,0.23,5.52,2003
Backyard Wrestling 2  There Goes the Neighborhood,PS2,Fighting,Eidos Interactive,8,5,1,157,0.28,0.14,4.32,0.11,4.85,2004
Zendoku,DS,Puzzle,Eidos Interactive,5,3,4,242,0.06,0.05,1.09,1.22,2.42,2007
Think  Train Your Brain,DS,Puzzle,Eidos Interactive,9,4,4,269,7.14,2.36,4.11,6.18,19.79,2009
Soul Bubbles,DS,Puzzle,Eidos Interactive,7,7,7,147,0.08,0.05,5.05,0.02,5.2,2008
Prism  Light the Way,DS,Puzzle,Eidos Interactive,3,6,7,118,0.05,0.05,5.32,3.98,9.4,2007
Diner Dash  Sizzle & Serve,DS,Puzzle,Eidos Interactive,6,9,7,51,0.38,0.33,4.29,0.02,5.02,2007
Brain Voyage,DS,Puzzle,Eidos Interactive,4,1,2,146,0.09,0.06,1.69,0.02,1.86,2008
Floras Fruit Farm,PC,Puzzle,Eidos Interactive,4,4,7,102,7.57,3.91,3.49,1.88,16.85,2009
Carol Vordermans Sudoku,PC,Puzzle,Eidos Interactive,9,1,6,70,6.95,2.84,3.35,5.06,18.2,2007
Carol Vordermans Sudoku,PS2,Puzzle,Eidos Interactive,4,7.4,1,59,0.28,3.8,1.98,0.23,6.29,2007
Arctic Adventures  Polars Puzzles,PSN,Puzzle,Eidos Interactive,6,5,8,266,8,3.05,5.64,1.84,18.53,2010
RACE  The WTCC Game   Caterham Expansion,PC,Racing,Eidos Interactive,5,3,10,39,4.22,2.71,3.15,3.11,13.19,2007
Ford Bold Moves Street Racing,PC,Racing,Eidos Interactive,4,1,5,150,3.88,2.06,5.51,6.14,17.59,2006
Big Red Racing,PC,Racing,Eidos Interactive,5,8,8,220,4.78,4.85,3.57,6.98,20.18,1996
Walt Disney World Quest  Magical Racing Tour,PS,Racing,Eidos Interactive,1,6,6,221,0.45,0.25,4.81,0.17,5.68,2000
Wave Rally,PS2,Racing,Eidos Interactive,7,8,8,284,0.27,0.13,1.71,0.1,2.21,2001
The Italian Job,PS2,Racing,Eidos Interactive,1,9,10,141,0.23,0.11,3.47,0.09,3.9,2003
Ford Bold Moves Street Racing,PS2,Racing,Eidos Interactive,7,2,6,52,2.62,1.3,4.55,4.29,12.76,2006
Crash N Burn,PS2,Racing,Eidos Interactive,6,6,4,296,0.21,0.11,4.09,0.08,4.49,2004
Touch the Dead,DS,Shooter,Eidos Interactive,4,6,3,152,0.22,0.2,1.88,3.71,6.01,2007
Bionicle Heroes,DS,Shooter,Eidos Interactive,8,7.8,7,237,0.06,0.06,2.68,3.53,6.33,2006
Total Overdose  A Gunslingers Tale in Mexico,PC,Shooter,Eidos Interactive,9,8,3,114,3.06,4.19,1.14,4.25,12.64,2005
Thief  The Dark Project,PC,Shooter,Eidos Interactive,6,9.3,1,28,0.01,3.43,1.64,0.01,5.09,1998
Thief II  The Metal Age,PC,Shooter,Eidos Interactive,5,9,7,262,6.05,2.46,5.92,3.74,18.17,2000
Shellshock  Nam 67,PC,Shooter,Eidos Interactive,5,5,8,207,6.28,3.05,1.6,5.8,16.73,2004
ShellShock 2  Blood Trails,PC,Shooter,Eidos Interactive,1,1,9,89,6.33,1.13,3.33,2.58,13.37,2009
Rogue Trooper,PC,Shooter,Eidos Interactive,2,2,6,283,1.7,4.75,1.55,4.53,12.53,2006
Project  Snowblind,PC,Shooter,Eidos Interactive,10,10,6,56,5.31,3.22,2.2,6.76,17.49,2005
Kane & Lynch  Dead Men,PC,Shooter,Eidos Interactive,3,4,7,77,7.8,4.64,4.9,6.48,23.82,2007
John Romeros Daikatana,PC,Shooter,Eidos Interactive,10,4,7,20,4.21,2.43,4.44,2.11,13.19,2000
Infernal,PC,Shooter,Eidos Interactive,2,5,5,210,4.52,4.91,1.49,4.53,15.45,2007
Hitman  Contracts,PC,Shooter,Eidos Interactive,4,4,5,277,1.61,3.1,4.86,5.45,15.02,2004
Deus Ex  Invisible War,PC,Shooter,Eidos Interactive,10,8.5,2,195,3.91,4.45,3.03,1.54,12.93,2003
Deus Ex,PC,Shooter,Eidos Interactive,10,9.2,5,110,0.01,3.08,5.77,0.01,8.87,2000
Conflict  Denied Ops,PC,Shooter,Eidos Interactive,1,2,10,93,0.01,3.95,1.72,0.01,5.69,2008
Commandos  Strike Force,PC,Shooter,Eidos Interactive,4,8,5,276,7.49,2.02,1.44,3.77,14.72,2006
Bionicle Heroes,PC,Shooter,Eidos Interactive,7,5.4,5,119,4.52,4.11,2.87,1.96,13.46,2006
25 to Life,PC,Shooter,Eidos Interactive,9,9,1,164,4.79,4.29,3.47,5.04,17.59,2006
Machine Head,PS,Shooter,Eidos Interactive,2,5,10,132,0.07,0.04,2.97,0.03,3.11,1996
Urban Chaos  Riot Response,PS2,Shooter,Eidos Interactive,2,4,10,218,0.06,0.03,1.59,0.02,1.7,2006
Total Overdose  A Gunslingers Tale in Mexico,PS2,Shooter,Eidos Interactive,6,4,3,226,0.09,0.04,1.12,0.04,1.29,2005
TimeSplitters 2,PS2,Shooter,Eidos Interactive,9,9.1,6,74,0.7,0.34,5.26,0.27,6.57,2002
TimeSplitters,PS2,Shooter,Eidos Interactive,5,2,5,285,0.43,0.21,3.24,0.17,4.05,2000
Shellshock  Nam 67,PS2,Shooter,Eidos Interactive,5,10,8,280,0.62,0.3,1.71,0.24,2.87,2004
R Type Final,PS2,Shooter,Eidos Interactive,8,8.1,9,256,0.19,0.09,5.59,0.07,5.94,2004
Rogue Trooper,PS2,Shooter,Eidos Interactive,2,6,7,254,0.04,0.02,5.34,0.02,5.42,2006
Mister Mosquito,PS2,Shooter,Eidos Interactive,8,6.6,6,132,0.28,0.05,0.17,0.04,0.54,2002
Hitman  Contracts,PS2,Shooter,Eidos Interactive,9,4,6,137,0.8,0.39,2.87,0.31,4.37,2004
Commandos  Strike Force,PS2,Shooter,Eidos Interactive,10,1,5,147,0.06,0.03,5.58,0.02,5.69,2006
Bionicle Heroes,PS2,Shooter,Eidos Interactive,4,5.4,9,88,2.42,3.95,5.49,1.34,13.2,2006
25 To Life,PS2,Shooter,Eidos Interactive,9,1,3,148,0.42,0.35,4.55,0.01,5.33,2006
ShellShock 2  Blood Trails,PS3,Shooter,Eidos Interactive,6,5,9,90,0.08,0.04,1.04,0.03,1.19,2009
Kane & Lynch  Dead Men,PS3,Shooter,Eidos Interactive,8,6.8,3,194,0.75,0.29,0.01,0.32,1.37,2007
Conflict  Denied Ops,PS3,Shooter,Eidos Interactive,4,5.2,6,197,0.19,0.05,4.47,0.1,4.81,2008
Riding Academy,DS,Simulation,Eidos Interactive,4,5,7,228,3.73,2.77,1.13,3.07,10.7,2008
Pony Friends  Mini Breeds Edition,DS,Simulation,Eidos Interactive,10,5,1,260,0.05,0.05,3.62,2.16,5.88,2008
Pony Friends,DS,Simulation,Eidos Interactive,6,7,1,290,0.05,1.35,1.07,0.04,2.51,2007
My Pet Hotel 2,DS,Simulation,Eidos Interactive,4,6,5,105,1.71,1.32,4.72,5.91,13.66,2008
Startopia,PC,Simulation,Eidos Interactive,9,4,8,13,3.64,1.56,3.21,6.9,15.31,2001
Singles  Flirt Up Your Life,PC,Simulation,Eidos Interactive,2,4,7,127,3.6,4.35,5.17,5.12,18.24,2004
My Pet Hotel 2,PC,Simulation,Eidos Interactive,5,7,3,226,3.54,1.07,2.81,2.25,9.67,2008
Flight Unlimited II,PC,Simulation,Eidos Interactive,7,1,10,208,2.18,1.63,5.01,5.03,13.85,1997
Thunderstrike  Operation Phoenix,PS2,Simulation,Eidos Interactive,6,10,6,208,0.34,0.17,4.39,0.13,5.03,2001
The Woodleys Summer Sports,DS,Sports,Eidos Interactive,2,1,6,242,1.78,3.66,1.03,5.91,12.38,2008
UEFA Champions League Season 1999 2000,PC,Sports,Eidos Interactive,10,4,7,249,5.51,1.48,2.28,6.63,15.9,2000
Sydney 2000,PC,Sports,Eidos Interactive,5,3,3,277,1.66,1.51,3.96,6.39,13.52,2000
Salt Lake 2002,PC,Sports,Eidos Interactive,10,9,8,274,6.76,2.29,3.33,1.99,14.37,2002
Championship Manager  Season 00 01,PC,Sports,Eidos Interactive,3,2,8,11,2.66,1.95,1.29,1.39,7.29,2000
Championship Manager Season 97 98,PC,Sports,Eidos Interactive,6,10,2,198,3.15,4.88,1.14,3.93,13.1,1997
Championship Manager 99 00,PC,Sports,Eidos Interactive,4,9,4,33,1.07,4.81,4.38,0.98,11.24,2000
Championship Manager 5,PC,Sports,Eidos Interactive,8,8,5,153,5.04,3.39,5.24,6.38,20.05,2005
Championship Manager 4,PC,Sports,Eidos Interactive,5,6,5,148,6.12,2.65,2.81,4.06,15.64,2003
Championship Manager 3,PC,Sports,Eidos Interactive,1,1,5,222,1.01,3.28,1.8,0.93,7.02,2003
Championship Manager 2010,PC,Sports,Eidos Interactive,2,9,6,92,0.01,3.18,2.22,0.01,5.42,2009
Championship Manager 2007,PC,Sports,Eidos Interactive,1,7,8,43,7.59,4.3,1.64,3.38,16.91,2006
Championship Manager 2006,PC,Sports,Eidos Interactive,8,7,10,8,6.91,2.72,4.64,1.62,15.89,2006
Championship Manager 09,PC,Sports,Eidos Interactive,7,5,5,270,5.85,2.26,1.45,6.29,15.85,2009
Championship Manager 03 04,PC,Sports,Eidos Interactive,10,4,8,231,1.26,4.56,1.44,1.15,8.41,2003
Athens 2004,PC,Sports,Eidos Interactive,1,3,9,72,4.88,3.35,4.89,3.25,16.37,2004
UEFA Champions League Season 1999 2000,PS,Sports,Eidos Interactive,4,9,1,219,4.05,1.32,1.77,1.95,9.09,2000
Sydney 2000,PS,Sports,Eidos Interactive,4,6,1,80,0.27,0.15,5.46,0.1,5.98,2000
Olympic Summer Games  Atlanta 1996,PS,Sports,Eidos Interactive,8,1,8,31,0.1,0.06,1.62,0.04,1.82,1996
Olympic Soccer  Atlanta 1996,PS,Sports,Eidos Interactive,3,7,2,125,0.05,0.03,2.17,0.02,2.27,1996
All Star Soccer,PS,Sports,Eidos Interactive,2,3,5,289,7.89,2.58,5.88,5.63,21.98,1997
Salt Lake 2002,PS2,Sports,Eidos Interactive,9,10,8,51,0.14,0.07,1.32,0.05,1.58,2002
Championship Manager 5,PS2,Sports,Eidos Interactive,2,3,3,23,7.58,3.14,5.68,2.62,19.02,2005
Championship Manager 2007,PS2,Sports,Eidos Interactive,2,9,9,34,6.21,3.4,4.4,2.96,16.97,2007
Championship Manager 2006,PS2,Sports,Eidos Interactive,10,7,7,58,4.13,1.72,5.57,3.98,15.4,2006
Championship Manager 2010,PSN,Sports,Eidos Interactive,7,10,8,286,2.94,2,2.68,3.74,11.36,2010
Championship Manager 2006 07,PSN,Sports,Eidos Interactive,3,2,8,56,1.67,4.89,1.98,4.42,12.96,2009
Game of War,PC,Puzzle,EightyEightGames,4,4,8,0.13,6.39,4.51,2.39,4.6,17.89,2013
Star Wars Jedi  Fallen Order,PC,Board Game,Electronic Arts,7,9,4,142,6.41,2.52,1.48,3.31,13.72,2019
Star Wars Jedi  Fallen Order,PS4,Board Game,Electronic Arts,6,8,3,66,1.65,1.84,3.37,6.39,13.25,2019
Shonen Kininden Tsumuji,DS,Adventure,Electronic Arts,1,2,4,210,0.01,3.3,0.01,3.04,6.36,2010
Pogo Island,DS,Adventure,Electronic Arts,9,5,10,28,6.43,1.28,5.55,1.79,15.05,2007
MySims Agents,DS,Adventure,Electronic Arts,5,10,5,123,1.07,0.54,1.75,0.42,3.78,2009
Harry Potter and the Order of the Phoenix,DS,Adventure,Electronic Arts,3,3,4,213,0.84,0.28,2.22,0.46,3.8,2007
Harry Potter and the Goblet of Fire,DS,Adventure,Electronic Arts,1,3,5,148,0.23,0.2,2.95,0.01,3.39,2005
The Seven Cities of Gold,PC,Adventure,Electronic Arts,10,10,7,192,6.09,3.23,1.63,6.07,17.02,1984
The Lost Files of Sherlock Holmes  The Case of the Serrated Scalpel,PC,Adventure,Electronic Arts,1,10,5,64,5.53,4.71,2.64,1.61,14.49,1992
The Lost Files of Sherlock Holmes  The Case of the Rose Tattoo,PC,Adventure,Electronic Arts,5,2,8,221,1.58,4.05,2.13,2.46,10.22,1996
The Labyrinth of Time,PC,Adventure,Electronic Arts,2,2,2,222,2.47,1.71,3.97,2.42,10.57,1993
The Godfather II,PC,Adventure,Electronic Arts,5,5,7,125,7.84,2.19,3.36,2.69,16.08,2009
The Creed,PC,Adventure,Electronic Arts,8,5,7,205,7.89,1.37,1.55,5.5,16.31,2001
Sea of Solitude,PC,Adventure,Electronic Arts,10,7,4,36,6.95,4.83,2.51,4.29,18.58,2019
Relentless  Twinsens Adventure,PC,Adventure,Electronic Arts,9,9,2,119,5.37,3.4,4.05,1.29,14.11,1994
Queen  The eYe,PC,Adventure,Electronic Arts,2,9,10,90,2.49,1.86,4.79,2.42,11.56,1998
Psychic Detective,PC,Adventure,Electronic Arts,2,7,1,100,6.17,2.24,4.6,1.45,14.46,1995
Noctropolis,PC,Adventure,Electronic Arts,9,7,6,135,3.1,4.84,3.28,1.27,12.49,1994
Harry Potter and the Prisoner of Azkaban,PC,Adventure,Electronic Arts,1,5,4,130,0.04,3.62,1.26,0.03,4.95,2004
Harry Potter and the Order of the Phoenix,PC,Adventure,Electronic Arts,7,5,6,127,0.04,2.34,2.43,0.03,4.84,2007
Harry Potter and the Goblet of Fire,PC,Adventure,Electronic Arts,7,6.7,4,41,0.01,4.26,5.5,0.01,9.78,2005
Harry Potter and the Chamber of Secrets,PC,Adventure,Electronic Arts,7,5,7,48,0.01,4.38,4.68,0.01,9.08,2002
Crusader  No Remorse,PC,Adventure,Electronic Arts,3,1,4,16,6.88,4.18,5.8,6.45,23.31,1995
Alice  Madness Returns,PC,Adventure,Electronic Arts,6,6.7,1,227,0.12,2.86,1.38,0.1,4.46,2011
Xena  Warrior Princess,PS,Adventure,Electronic Arts,8,9,9,64,0.6,0.33,4.12,0.23,5.28,1999
Small Soldiers,PS,Adventure,Electronic Arts,1,10,1,83,0.61,0.34,5.06,0.23,6.24,1998
Psychic Detective,PS,Adventure,Electronic Arts,6,6,8,119,0.01,0.01,5,1.02,6.04,1995
Harry Potter and the Chamber of Secrets,PS,Adventure,Electronic Arts,10,8,5,8,1.98,0.75,0.02,1.09,3.84,2002
Crusader  No Remorse,PS,Adventure,Electronic Arts,10,3,4,113,0.05,0.03,2,0.02,2.1,1996
Pirates  The Legend of Black Kat,PS2,Adventure,Electronic Arts,8,4,1,13,0.14,0.07,4.91,0.05,5.17,2002
Harry Potter and the Prisoner of Azkaban,PS2,Adventure,Electronic Arts,1,7,4,207,1.02,0.5,3.41,0.39,5.32,2004
Harry Potter and the Order of the Phoenix,PS2,Adventure,Electronic Arts,3,3,2,15,0.27,0.13,3.01,0.1,3.51,2007
Harry Potter and the Goblet of Fire,PS2,Adventure,Electronic Arts,9,6.7,8,122,0.65,0.54,2.88,0.02,4.09,2005
Harry Potter and the Chamber of Secrets,PS2,Adventure,Electronic Arts,5,3,6,178,2.61,0.9,0.04,1.22,4.77,2002
The Godfather II,PS3,Adventure,Electronic Arts,8.2,6.4,9,217,0.74,0.41,0.01,0.21,1.37,2009
Harry Potter and the Order of the Phoenix,PS3,Adventure,Electronic Arts,6,8,6,9,0.24,0.18,1.89,0.04,2.35,2007
Alice  Madness Returns,PS3,Adventure,Electronic Arts,10,6.7,2,98,0.59,0.22,0.04,0.24,1.09,2011
Sea of Solitude,PS4,Adventure,Electronic Arts,8,5,6,26,1.42,4.51,5.67,6.33,17.93,2019
Harry Potter and the Order of the Phoenix,PSN,Adventure,Electronic Arts,1,3,9,176,2.44,1.26,1.75,2.46,7.91,2010
